file,seg_size,orig,comp,ratio,c_MBps,d_MBps,ok
../corpus/binary_mozilla.bin,4096,393216,272906,0.6940,3.1,3.3,ok
../corpus/binary_mozilla.bin,16384,393216,261857,0.6659,1.9,2.0,ok
../corpus/binary_mozilla.bin,65536,393216,251972,0.6408,0.9,0.9,ok
../corpus/binary_mozilla.bin,262144,393216,247860,0.6303,0.3,0.3,ok
../corpus/binary_mozilla.bin,393216,393216,247134,0.6285,0.2,0.2,ok
../corpus/repetitive_nci.bin,4096,393216,77664,0.1975,3.4,3.4,ok
../corpus/repetitive_nci.bin,16384,393216,52136,0.1326,2.0,2.1,ok
../corpus/repetitive_nci.bin,65536,393216,37409,0.0951,0.9,0.9,ok
../corpus/repetitive_nci.bin,262144,393216,31017,0.0789,0.3,0.3,ok
../corpus/repetitive_nci.bin,393216,393216,29209,0.0743,0.2,0.2,ok
../corpus/source_samba.bin,4096,393216,253522,0.6447,3.3,3.4,ok
../corpus/source_samba.bin,16384,393216,220359,0.5604,1.9,2.0,ok
../corpus/source_samba.bin,65536,393216,205888,0.5236,0.9,0.9,ok
../corpus/source_samba.bin,262144,393216,204402,0.5198,0.3,0.3,ok
../corpus/source_samba.bin,393216,393216,203421,0.5173,0.2,0.2,ok
../corpus/struct_xml.bin,4096,393216,97042,0.2468,3.5,3.5,ok
../corpus/struct_xml.bin,16384,393216,44442,0.1130,1.9,2.1,ok
../corpus/struct_xml.bin,65536,393216,25732,0.0654,0.9,0.9,ok
../corpus/struct_xml.bin,262144,393216,20685,0.0526,0.3,0.3,ok
../corpus/struct_xml.bin,393216,393216,19207,0.0488,0.2,0.2,ok
../corpus/text_dickens.bin,4096,393216,209699,0.5333,3.4,3.5,ok
../corpus/text_dickens.bin,16384,393216,161164,0.4099,1.9,2.0,ok
../corpus/text_dickens.bin,65536,393216,134052,0.3409,0.8,0.9,ok
../corpus/text_dickens.bin,262144,393216,121287,0.3084,0.3,0.3,ok
../corpus/text_dickens.bin,393216,393216,116318,0.2958,0.2,0.2,ok
../corpus/text_reymont.bin,4096,393216,173217,0.4405,3.4,3.5,ok
../corpus/text_reymont.bin,16384,393216,121776,0.3097,1.8,1.9,ok
../corpus/text_reymont.bin,65536,393216,95921,0.2439,0.8,0.9,ok
../corpus/text_reymont.bin,262144,393216,85940,0.2186,0.3,0.3,ok
../corpus/text_reymont.bin,393216,393216,82403,0.2096,0.2,0.2,ok
bench/big.bin,4096,56623104,26014197,0.4594,78.0,78.7,ok
bench/big.bin,16384,56623104,20678613,0.3652,87.0,91.6,ok
bench/big.bin,65536,56623104,18020373,0.3183,33.2,34.9,ok
bench/big.bin,262144,56623104,17168757,0.3032,8.8,9.3,ok
bench/big.bin,393216,56623104,16741605,0.2957,6.0,6.2,ok
